cell,cell_ontology_class,tissue
G13.MAA000944.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
M8.MAA000926.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
C19.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
M17.MAA000926.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
M16.MAA000941.3_8_M.1.1,endothelial cell,Brain_Non-Myeloid
L7.B003728.3_56_F.1.1,astrocyte,Brain_Non-Myeloid
B12.B003275.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
K22.MAA000944.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
I22.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
P22.MAA000561.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
H19.MAA000641.3_9_M.1.1,neuron,Brain_Non-Myeloid
K1.MAA001853.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
G7.MAA000615.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
K4.MAA000940.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
O13.MAA000561.3_10_M.1.1,neuron,Brain_Non-Myeloid
I20.MAA000940.3_8_M.1.1,neuron,Brain_Non-Myeloid
H21.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
E12.MAA001895.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
C21.MAA000424.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
J19.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
A8.MAA001895.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
D20.MAA001895.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
L2.MAA000564.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
P20.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
P20.MAA000578.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
O15.MAA000564.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
F14.MAA000926.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
J3.MAA001894.3_39_F.1.1,astrocyte,Brain_Non-Myeloid
M14.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
E12.MAA000944.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
P7.MAA000563.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
J19.MAA000561.3_10_M.1.1,neuron,Brain_Non-Myeloid
O15.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
A6.MAA000942.3_8_M.1.1,neuron,Brain_Non-Myeloid
G15.MAA000581.3_10_M.1.1,neuron,Brain_Non-Myeloid
D22.B003290.3_38_F.1.1,neuron,Brain_Non-Myeloid
C12.MAA000942.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
E14.B003275.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
P7.MAA000564.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
J12.MAA000641.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
E6.MAA000563.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
N11.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
A11.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
J4.MAA000564.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
P6.MAA000942.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
A11.MAA000926.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
O4.B000404.3_56_F.1.1,astrocyte,Brain_Non-Myeloid
F19.MAA000941.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
A7.MAA000424.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
J12.MAA000581.3_10_M.1.1,neuron,Brain_Non-Myeloid
K7.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
N18.MAA000564.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
H15.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
H5.MAA000550.3_10_M.1.1,neuron,Brain_Non-Myeloid
B1.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
A15.MAA000941.3_8_M.1.1,endothelial cell,Brain_Non-Myeloid
